Id,Producto,Unidad,Cantidad,Precio,Clientes,Pzs
1399,empanadas (orden x6) Carne estilo argentino,paq,4.0,150,"Catherine,Nicte,GuadalupeM,Raquel",0.0
1401,empanadas (orden x6) salteado de espinacas con queso,paq,1,150,Catherine,0
1405,"Jabon hidratante leche de coco, avena y miel",pz,1,40,IsabelR,0
1414,Crema facil antiedad colageno y aceido hialuronico,pz,1,100,Elizabeth,0
1425,Paquete 1kg Fresa + 200grs mora azul,paq,4,150,"Bex,Lorena,Xicotencatl502,Monse2",0
1426,Envio,servicio,7,45,"Catherine,EdnaFlores,Nicte,kane,Gabi,Mariana,GuadalupeM",0
1427,Frijol negro criollo molido,kg,0.5,80,Lupe,0
1428,Paquete 250grs de Totopo + 500grs pasta de frijol + 1 queso fresco + 100ml salsa,paq,6,85,"DraFatima,Nicte,Rocio,Laia,Ursula",0
1431,Pollo entero con piel,kg,0,140,ClaudiaGuichard,1
1433,Medio Pollo con piel partido en piezas,paq,2,145,"SraSalinas,Lauren,Lauren",0
1434,"Molida de pollo ",kg,3.1,250,"Claudia,EdnaFlores,GuadalupeM,LaurenCC,Raquel",0.0
2027,Pulpa de maracuya 4x,kg,2,90,Bex,0
2206,chimichirri,pz,1,0,Nicte,0
2618,Panque de jengibre,pz,1,35,Nicte,0
2629,Chintextle 200grs,pz,1,85,Gabi,0
2693,pechuga de pollo,kg,0,170,Evelyne,1
2694,Pasta de frijol con hoja de aguacate,kg,0.5,80,Tania,0
2695,Pasta de frijol con hierba de conejo,kg,1,80,"Gabi,Tania",0
